Site,Date,Time Trap set day before,Time Trap Checked,Addition Time for each trap,Minutes Trap open,Hours Trap open,Time Trap Start check,End Time,Trap,Wpt,Depth,Substrate,Structure at trap,Density of Structure,Log or Ledge,Spp,sex,Stage,Total L,Wt,SVL,VTL,Photo #,comment,Wpt,,,Trap Set Time,,UTM N,UTM E,Latitude,Longitude
LS4,41036,41035.68642,41036.4375,,1081.55,18.02583333,0.4375,0.645833333,1,14,71,m,lily,sparse,,RAAU,,l,24,,,,,"1st trap set near beaver dam, then moved in counter clockwise direction to set traps every 3 to 10 m apart",14,14,41035,0.686423611,U,5430634,313811,49.00046407,-125.5457056
LS4,41036,41035.68642,41036.4375,0.004965278,1081.55,18.02583333,0.4375,0.645833333,1,14,71,m,lily,sparse,,ODONATE,,n,,,,,,,14,14,41035,0.686423611,U,5430634,313811,49.00046407,-125.5457056
LS4,41036,41035.68712,41036.44247,,1087.7,18.12833333,0.4375,0.645833333,2,15,90,m,potomogeton,sparse,beside log,TSB,,,57,,,,,,15,15,41035,0.686979167,U,5430630,313809,49.00042752,-125.5457311
LS4,41036,41035.68712,41036.44247,0.004965278,1087.7,18.12833333,0.4375,0.645833333,2,15,90,m,potomogeton,sparse,beside log,RAAU,,l,21,,,,,,15,15,41035,0.686979167,U,5430630,313809,49.00042752,-125.5457311
LS4,41036,41035.6886,41036.44743,0.004965278,1092.716667,18.21194444,0.4375,0.645833333,3,16,110,m,watershield,,,NONE,,,,,,,,,16,16,41035,0.688599537,U,5430629,313809,49.00041854,-125.5457306
LS4,41036,41035.68999,41036.4524,,1097.866667,18.29777778,0.4375,0.645833333,4,17,85,m,mixed,,,TSB,,,35,,,,,,17,17,41035,0.690081019,U,5430632,313814,49.00044701,-125.5456637
LS4,41036,41035.68999,41036.4524,,1097.866667,18.29777778,0.4375,0.645833333,4,17,85,m,mixed,,,RAAU,,l,25,,,,,,17,17,41035,0.690081019,U,5430632,313814,49.00044701,-125.5456637
LS4,41036,41035.68999,41036.4524,0.004965278,1097.866667,18.29777778,0.4375,0.645833333,4,17,85,m,mixed,,,RAAU,,l,27,,,,,,17,17,41035,0.690081019,U,5430632,313814,49.00044701,-125.5456637
LS4,41036,41035.69167,41036.45736,0.004965278,1102.6,18.37666667,0.4375,0.645833333,5,18,66,m,potomogeton,sparse,,RAAU,,l,27,,,,,,18,18,41035,0.692037037,U,5430627,313820,49.00040389,-125.5455794
LS4,41036,41035.69306,41036.46233,0.004965278,1107.75,18.4625,0.4375,0.645833333,6,19,100,m,potomogeton,sparse,,TSB,,,35,,,,,,19,19,41035,0.693541667,U,5430629,313818,49.00042126,-125.5456077
LS4,41036,41035.69583,41036.46729,,1110.9,18.515,0.4375,0.645833333,7,20,105,m,not recorded,,,AMGR,,l,67,2,32,35,,,20,20,41035,0.69599537,U,5430627,313826,49.0004057,-125.5454975
LS4,41036,41035.69583,41036.46729,,1110.9,18.515,0.4375,0.645833333,7,20,105,m,not recorded,,,TSB,,,59,,,,,,20,20,41035,0.69599537,U,5430627,313826,49.0004057,-125.5454975
LS4,41036,41035.69583,41036.46729,,1110.9,18.515,0.4375,0.645833333,7,20,105,m,not recorded,,,TSB,,,59,,,,,,20,20,41035,0.69599537,U,5430627,313826,49.0004057,-125.5454975
LS4,41036,41035.69583,41036.46729,,1110.9,18.515,0.4375,0.645833333,7,20,105,m,not recorded,,,TSB,,,46,,,,,,20,20,41035,0.69599537,U,5430627,313826,49.0004057,-125.5454975
LS4,41036,41035.69583,41036.46729,,1110.9,18.515,0.4375,0.645833333,7,20,105,m,not recorded,,,RAAU,,l,25,,,,,,20,20,41035,0.69599537,U,5430627,313826,49.0004057,-125.5454975
