"","","BlackHole","LS2B","LS3A","LS4","Swan Lake","Wood Lake - LS3C"
"",0,0,0,0,0,0,0
"AMGR",0,4,0,3,6,41,28
"AMPHIPOD",0,0,1,6,1,2,5
"CADDISFLY",0,13,4,47,1,13,26
"CCT",0,1,0,2,10,0,0
"CO",0,0,13,21,1,0,2
"CODEAD",0,0,0,0,0,0,0
"COPPER SEEDLIKE",0,0,0,0,0,1,0
"CORIXID",0,0,0,1,1,45,44
"CRAYFISH",0,2,0,0,0,0,0
"DAMSEL2",0,0,0,0,0,2,0
"DAMSELFLY",0,0,0,0,0,41,0
"DIVING BEETLE",0,1,2,2,1,11,2
"EGG",0,0,0,0,0,0,1
"EPHEMEROPTERA",0,1,1,4,0,0,3
"FLY",0,0,0,0,0,0,1
"HYRE",0,0,1,0,0,11,0
"LEECH",0,0,0,1,0,0,2
"MITE",0,0,0,0,0,0,3
"NONE",0,9,1,0,4,0,2
"NOTONECTID",0,0,0,0,0,41,17
"ODONATE",0,0,0,0,2,6,8
"RAAU",0,41,18,2,69,124,27
"RAAUDEAD",0,0,0,0,0,0,0
"SCULPIN",0,1,0,0,0,0,0
"SNAIL",0,0,0,1,0,0,0
"TAGR",0,0,3,0,2,10,11
"TSB",0,109,5,65,47,0,37
"UNSA",0,2,0,1,1,1,3
"WHIRLIGIG",0,0,1,0,0,6,0
